billNo,authorshipType,fullTitle,dateFiled,significance,principalAuthors,dateRead,primaryReferral,billStatus,pdfUrl,historyUrl,history_coAuthors,history_firstReading,history_committeeActions,history_secondReading,history_thirdReading,history_presidentialAction
"HB02994","Principal Authored Bills","AN ACT DECLARING ZAMBOANGA CITY AS THE REGIONAL GOVERNMENT CENTER OF REGION IX AND FOR OTHER PURPOSES","2025-08-04","Local","1. PEREZ, JERRY EVANGELISTA","2025-08-06","LOCAL GOVERNMENT","Pending with the Committee on LOCAL GOVERNMENT since 2025-08-06","https://docs.congress.hrep.online/legisdocs/basic_20/hb02994.pdf","https://www.congress.gov.ph/bill/history?billno=HB02994&congress=20","1. Tan (A.) (000 2025-08-06)
2. Tan (S. A.) (000 2025-08-06)
3. Macasaet (000 2025-08-27)","Referral To The Committee On: LOCAL GOVERNMENT On 2025-08-06","","","",""
"HB02995","Principal Authored Bills","AN ACT ESTABLISHING THE TEACHERS' WELFARE AND INNOVATION PROGRAM, PROVIDING COMPENSATION ENHANCEMENTS, PERFORMANCE INCENTIVES, AND SUPPORT SERVICES FOR PUBLIC SCHOOL EDUCATORS, AND APPROPRIATING FUNDS THEREFOR","2025-08-04","National","1. PEREZ, JERRY EVANGELISTA","2025-08-06","BASIC EDUCATION AND CULTURE","Pending with the Committee on BASIC EDUCATION AND CULTURE since 2025-08-06","https://docs.congress.hrep.online/legisdocs/basic_20/hb02995.pdf","https://www.congress.gov.ph/bill/history?billno=HB02995&congress=20","1. Chua-Tai (000 2025-10-20)
2. Puno (000 2025-11-25)","Referral To The Committee On: BASIC EDUCATION AND CULTURE On 2025-08-06","","","",""
"HB03160","Principal Authored Bills","AN ACT ESTABLISHING A LEVEL 3 GENERAL HOSPITAL TO BE KNOWN AS THE VITALI MEDICAL CENTER IN THE DISTRICT OF VITALI, CITY OF ZAMBOANGA, UNDER THE DIRECT SUPERVISION AND CONTROL OF THE DEPARTMENT OF HEALTH, AND APPROPRIATING FUNDS THEREFOR","2025-08-05","Local","1. PEREZ, JERRY EVANGELISTA","2025-08-11","HEALTH","Pending with the Committee on HEALTH since 2025-08-11","https://docs.congress.hrep.online/legisdocs/basic_20/hb03160.pdf","https://www.congress.gov.ph/bill/history?billno=HB03160&congress=20","1. Macasaet (000 2025-08-27)
2. Chua-Tai (000 2025-10-20)","Referral To The Committee On: HEALTH On 2025-08-11","","","",""
"HB06503","Principal Authored Bills","AN ACT GRANTING THE ZAMBOANGA CITY ELECTRIC COOPERATIVE INC., (ZAMCELCO) A FRANCHISE TO CONSTRUCT, INSTALL, ESTABLISH, OPERATE, OWN, MANAGE AND MAINTAIN A DISTRIBUTION SYSTEM FOR THE CONVEYANCE OF ELECTRIC POWER TO THE END-USERS IN THE CITY OF ZAMBOANGA COMPOSING OF ELEVEN (11) DISTRICTS","2025-12-01","Local","1. PEREZ, JERRY EVANGELISTA","2025-12-03","LEGISLATIVE FRANCHISES","Pending with the Committee on LEGISLATIVE FRANCHISES since 2025-12-03","https://docs.congress.hrep.online/legisdocs/basic_20/hb06503.pdf","https://www.congress.gov.ph/bill/history?billno=HB06503&congress=20","","Referral To The Committee On: LEGISLATIVE FRANCHISES On 2025-12-03","","","",""
"HB07917","Principal Authored Bills","AN ACT AMENDING REPUBLIC ACT NO. 12009, OTHERWISE KNOWN AS THE ""NEW GOVERNMENT PROCUREMENT ACT""","2026-02-23","National","1. PUNO, RONALDO V. 2. ABANTE, BIENVENIDO JR. M. 3. ADVINCULA, ADRIAN JAY C. 4. ATAYDE, JUAN CARLOS ""Arjo"" C. 5. BASCUG, ALFELITO ""Alfel M."" 6. BONDOC, ANNA YORK P. MD 7. CO-PILAR, MA. VICTORIA 8. DAZA, NIKO RAUL S.J. 9. DEL MAR, RACHEL MARGUERITE B. 10. DOMINGO, DANILO ""Danny"" A. 11. FERRER, ANTONIO A. 12. FERRER, JEFFREY 13. GARCIA, ALBERT S. 14. GARCIA, KAREN HOPE F. 15. GARCIA, MARIA ANGELA S. 16. GONZALES, ALEXANDRIA ""Queenie"" 17. GONZALES, CHRISTOPHER SHEEN P. 18. HORIBATA, TSUYOSHI ANTHONY ""Hori"" G. 19. LAGBAS, ATTY. JENNIFER ""Karen"" A. 20. LORIA, CARLOS ANDES 21. MARAÑON, ALFREDO III D. 22. NAVA, JC RAHMAN A., MD. 23. ORETA, ANTOLIN III A. 24. PANCHO, AGUSTINA DOMINIQUE ""Ditse Tina"" C. 25. PEREZ, JERRY EVANGELISTA 26. PLAZA, EDDIEBONG G. 27. PUMAREN, FRANZ S. 28. SALI, DIMSZAR M. 29. SALVAME, ROSALIE A. 30. SHIMURA, SUN JUDAL 31. TEODORO, MARCELINO ""Marcy"" R. 32. TOLENTINO, ANIELA BIANCA D. 33. VALERIANO, ROLANDO M. 34. VELOSO-TUAZON, ANNA VICTORIA 35. VILLAFUERTE, MIGUEL LUIS R. 36. VILLAFUERTE, VINCENZO RENATO LUIGI R. 37. YAMSUAN, BRIAN RAYMUND S. 38. YAP, JOHN GEESNELL ""Baba""","2026-02-25","REVISION OF LAWS","Pending with the Committee on REVISION OF LAWS since 2026-02-25","https://docs.congress.hrep.online/legisdocs/basic_20/hb07917.pdf","https://www.congress.gov.ph/bill/history?billno=HB07917&congress=20","1. Benitez (J.M.) (000 2026-03-04)
2. Yap (A.) (000 2026-05-26)
3. Tulfo (R. W. P.) (000 2026-08-17)","Referral To The Committee On: REVISION OF LAWS On 2026-02-25","","","",""
"HB08054","Principal Authored Bills","AN ACT CONVERTING MUTI ELEMENTARY SCHOOL IN BARANGAY MUTI, ZAMBOANGA CITY INTO AN INTEGRATED SCHOOL TO BE KNOWN AS THE MUTI INTEGRATED SCHOOL, AND APPROPRIATING FUNDS THEREFOR","2026-02-24","Local","1. PEREZ, JERRY EVANGELISTA 2. CHUA-TAI, KATRINA REIKO","2026-03-02","BASIC EDUCATION AND CULTURE","Pending with the Committee on BASIC EDUCATION AND CULTURE since 2026-03-02","https://docs.congress.hrep.online/legisdocs/basic_20/hb08054.pdf","https://www.congress.gov.ph/bill/history?billno=HB08054&congress=20","","Referral To The Committee On: BASIC EDUCATION AND CULTURE On 2026-03-02","","","",""
"HB08055","Principal Authored Bills","AN ACT CONVERTING LUMBANGAN ELEMENTARY SCHOOL - MARIA CLARA L. LOBREGAT NATIONAL HIGH SCHOOL (MCLLNHS) EXTENSION IN BARANGAY LUMBANGAN, ZAMBOANGA CITY INTO AN INTEGRATED SCHOOL TO BE KNOWN AS THE LUMBANGAN INTEGRATED SCHOOL - MCLLNHS EXTENSION, AND APPROPRIATING FUNDS THEREFOR","2026-02-24","Local","1. PEREZ, JERRY EVANGELISTA 2. CHUA-TAI, KATRINA REIKO","2026-03-02","BASIC EDUCATION AND CULTURE","Pending with the Committee on BASIC EDUCATION AND CULTURE since 2026-03-02","https://docs.congress.hrep.online/legisdocs/basic_20/hb08055.pdf","https://www.congress.gov.ph/bill/history?billno=HB08055&congress=20","","Referral To The Committee On: BASIC EDUCATION AND CULTURE On 2026-03-02","","","",""
"HB08056","Principal Authored Bills","AN ACT CONVERTING DULIAN ELEMENTARY SCHOOL IN BARANGAY DULIAN WITHIN THE GEOGRAPHICAL DISTRICT OF MANICAHAN, ZAMBOANGA CITY INTO AN INTEGRATED SCHOOL TO BE KNOWN AS THE DULIAN INTEGRATED SCHOOL, AND APPROPRIATING FUNDS THEREFOR","2026-02-24","Local","1. PEREZ, JERRY EVANGELISTA 2. CHUA-TAI, KATRINA REIKO","2026-03-02","BASIC EDUCATION AND CULTURE","Pending with the Committee on BASIC EDUCATION AND CULTURE since 2026-03-02","https://docs.congress.hrep.online/legisdocs/basic_20/hb08056.pdf","https://www.congress.gov.ph/bill/history?billno=HB08056&congress=20","","Referral To The Committee On: BASIC EDUCATION AND CULTURE On 2026-03-02","","","",""
"HB08057","Principal Authored Bills","AN ACT CONVERTING PASILMANTA ELEMENTARY SCHOOL IN BARANGAY PASILMANTA IN SACOL ISLAND, ZAMBOANGA CITY INTO AN INTEGRATED SCHOOL TO BE KNOWN AS THE PASILMANTA INTEGRATED SCHOOL, AND APPROPRIATING FUNDS THEREFOR","2026-02-24","Local","1. PEREZ, JERRY EVANGELISTA 2. CHUA-TAI, KATRINA REIKO","2026-03-02","BASIC EDUCATION AND CULTURE","Pending with the Committee on BASIC EDUCATION AND CULTURE since 2026-03-02","https://docs.congress.hrep.online/legisdocs/basic_20/hb08057.pdf","https://www.congress.gov.ph/bill/history?billno=HB08057&congress=20","","Referral To The Committee On: BASIC EDUCATION AND CULTURE On 2026-03-02","","","",""
"HB08058","Principal Authored Bills","AN ACT CONVERTING VICTORIA ELEMENTARY SCHOOL IN BARANGAY VICTORIA, ZAMBOANGA CITY INTO AN INTEGRATED SCHOOL TO BE KNOWN AS THE VICTORIA INTEGRATED SCHOOL, AND APPROPRIATING FUNDS THEREFOR","2026-02-24","Local","1. PEREZ, JERRY EVANGELISTA 2. CHUA-TAI, KATRINA REIKO","2026-03-02","BASIC EDUCATION AND CULTURE","Pending with the Committee on BASIC EDUCATION AND CULTURE since 2026-03-02","https://docs.congress.hrep.online/legisdocs/basic_20/hb08058.pdf","https://www.congress.gov.ph/bill/history?billno=HB08058&congress=20","","Referral To The Committee On: BASIC EDUCATION AND CULTURE On 2026-03-02","","","",""
