GlobalID,InfraYear,Region,Province,Municipality,ImplementingOffice,ProjectID,ProjectDescription,ProjectComponentID,ProjectComponentDescription,Program,TypeofWork,infra_type,Longitude,Latitude,ContractID,ABC,ContractCost,CompletionDateOriginal,CompletionYear,Contractor,ObjectId,CreationDate,Creator,EditDate,Editor,FundingYear,LegislativeDistrict,DistrictEngineeringOffice,ABC_String,ContractCost_String,CompletionDateActual,StartDate,type,slug,_geo
6f1e5d69-3727-4316-aeeb-dfa6ec1ee070,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00732473MN,"Construction of Flood Control Structure, Barangay Ayala, Zamboanga City, Zamboanga del Sur",P00732473MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Structure, Barangay Ayala, Zamboanga City, Zamboanga del Sur",,Construction of Flood Mitigation Structure,Flood Control Structures,121.9469444,6.968055556,23JA0039,9800000,9768821.29,1.6975E+12,2023,MCGABRIEL CONSTRUCTION,5008,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2023,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,9800000,9768821.29,18/10/2023,03/23/2023,flood_control,construction-of-flood-control-structure-barangay-ayala-zamboanga-city-zamboanga-del-sur-23ja0039,[object Object]
9ddd8508-9000-4b17-b7c2-f15d945b0734,2024,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00833572MN,"Construction of Flood Mitigation Structure (Drainage), Barangay Ayala, Zamboanga City",P00833572MN-CW1,"Construction of Drainage Structure - Construction of Flood Mitigation Structure (Drainage), Barangay Ayala, Zamboanga City",,Construction of Drainage Structure,Flood Control Structures,121.947864,6.957917,24JA0023,4502295.03,4132146.97,1.72109E+12,2024,CITYWEST BUILDERS AND SUPPLY,5023,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2024,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4502295.03,4132146.97,17/07/2024,02/12/2024,flood_control,construction-of-flood-mitigation-structure-drainage-barangay-ayala-zamboanga-city-24ja0023,[object Object]
a01bf3c9-9ca9-4ce5-93f3-bb54c873ef60,2021,Region IX,ZAMBOANGA DEL SUR,,Region IX,P00522042MN,"Construction of Flood Control Structure at Saaz River along San Ramon Br. 2 along Zamboanga City-Labuan-Limpapa Secondary Road, Talisayan, Zamboanga City",P00522042MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Structure at Saaz River along San Ramon Br. 2 along Zamboanga City-Labuan-Limpapa Secondary Road, Talisayan, Zamboanga City",,Construction of Flood Mitigation Structure,Flood Control Structures,121.9506434,7.015891489,21J00043,104347826.1,89083475.33,1.65931E+12,2022,ALTOS CONSTRUCTION / GRACE CONSTRUCTION CORPORATION,5155,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2021,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,104347826.1,89083475.33,02/08/2022,02/22/2021,flood_control,construction-of-flood-control-structure-at-saaz-river-along-san-ramon-br-2-along-zamboanga-city-labuan-limpapa-secondary-road-talisayan-zamboanga-city-21j00043,[object Object]
da029bd6-9564-40b0-95f1-3c072c52bafd,2024,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00833577MN,"Construction of Flood Mitigation Structure (Drainage), Barangay Recodo, Zamboanga City",P00833577MN-CW1,"Construction of Drainage Structure - Construction of Flood Mitigation Structure (Drainage), Barangay Recodo, Zamboanga City",,Construction of Drainage Structure,Flood Control Structures,121.958185,6.954348,24JA0028,4900000,4574902.04,1.72299E+12,2024,RME CONSTRUCTION AND ENTERPRISES,5213,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2024,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4900000,4574902.04,22/07/2024,02/12/2024,flood_control,construction-of-flood-mitigation-structure-drainage-barangay-recodo-zamboanga-city-24ja0028,[object Object]
aa1cba67-f3c2-4625-9b7a-a125c724d3e8,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00721591MN,"Construction of Flood Mitigation Structure, Brgy. Tulungatung, Zamboanga City, Zamboanga del Sur",P00721591MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Mitigation Structure, Brgy. Tulungatung, Zamboanga City, Zamboanga del Sur",,Construction of Flood Mitigation Structure,Flood Control Structures,121.9658333,6.975833333,23JA0057,29400000,26485720.03,1.70657E+12,2023,"UNITEC BUILDER, INCORPORATED",5374,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2023,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,29400000,26485720.03,13/12/2023,06/30/2023,flood_control,construction-of-flood-mitigation-structure-brgy-tulungatung-zamboanga-city-zamboanga-del-sur-23ja0057,[object Object]
da748328-d6f7-4a74-a1be-6ef817d68c6d,2021,Region IX,ZAMBOANGA DEL SUR,,Region IX,P00522033MN,"Construction of Flood Control Structure along Ayala River, Tulungatung Section, Zamboanga City",P00522033MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Structure along Ayala River, Tulungatung Section, Zamboanga City",,Construction of Flood Mitigation Structure,Flood Control Structures,121.969664,6.980922,21J00002,60793971.23,57867414.58,1.67158E+12,2022,"TEDDIE CONSTRUCTION DEVELOPMENT, INC.",5420,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2021,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,60793971.23,57867414.58,22/12/2022,03/26/2021,flood_control,construction-of-flood-control-structure-along-ayala-river-tulungatung-section-zamboanga-city-21j00002,[object Object]
cb4a161e-682e-4a36-81f4-33652efafa4a,2021,Region IX,ZAMBOANGA DEL SUR,,Zamboanga City 2nd District Engineering Office,P00522144MN,"Construction of Slope Protection, Sitio Uwak River, San Roque, Zamboanga City",P00522144MN-CW1,"Construction of Flood Mitigation Structure - Construction of Slope Protection, Sitio Uwak River, San Roque, Zamboanga City",,Construction of Flood Mitigation Structure,Flood Control Structures,122.047778,6.938333,21JA0123,4900000,4875209.31,1.64851E+12,2022,LL CONSTRUCTION,5439,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2021,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4900000,4875209.31,04/07/2022,10/28/2021,flood_control,construction-of-slope-protection-sitio-uwak-river-san-roque-zamboanga-city-21ja0123,[object Object]
5fa12e46-be05-4afa-9ce8-e7d515cbaac2,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00732472MN,"Construction of Flood Control Structure, Barangay San Jose Gusu, Zamboanga City, Zamboanga del Sur",P00732472MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Structure, Barangay San Jose Gusu, Zamboanga City, Zamboanga del Sur",,Construction of Flood Mitigation Structure,Flood Control Structures,122.0547136,6.927464172,23JA0040,4900000,4850980.27,1.69448E+12,2023,LONG ISLAND BUILDERS & CONSTRUCTION,5489,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2023,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4900000,4850980.27,13/09/2023,03/23/2023,flood_control,construction-of-flood-control-structure-barangay-san-jose-gusu-zamboanga-city-zamboanga-del-sur-23ja0040,[object Object]
c0cec102-3a9e-40ba-9544-af5dd1392828,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00732470MN,"Construction of Drainage System, Barangay Baliwasan, Zamboanga City, Zamboanga del Sur",P00732470MN-CW1,"Construction of Drainage Structure - Construction of Drainage System, Barangay Baliwasan, Zamboanga City, Zamboanga del Sur",,Construction of Drainage Structure,Flood Control Structures,122.0591667,6.914722222,23JA0037,4829317.26,4826250.44,1.69543E+12,2023,MEGABALTZ CONSTRUCTION,5490,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2023,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4829317.26,4826250.44,17/08/2023,03/23/2023,flood_control,construction-of-drainage-system-barangay-baliwasan-zamboanga-city-zamboanga-del-sur-23ja0037,[object Object]
85f25388-bdcc-4685-8dc6-eabf6997ace9,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00732471MN,"Construction of Flood Control Structure, Villa Sta. Maria, Barangay Sta. Maria, Zamboanga City, Zamboanga del Sur",P00732471MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Structure, Villa Sta. Maria, Barangay Sta. Maria, Zamboanga City, Zamboanga del Sur",,Construction of Flood Mitigation Structure,Flood Control Structures,122.0763889,6.938611111,23JA0041,10890000,10884616.96,1.69906E+12,2023,RME CONSTRUCTION AND ENTERPRISES,5508,1.75427E+12,dpwh_view,1.7543E+12,dpwh_view,2023,ZAMBOANGA CITY (FIRST LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,10890000,10884616.96,25/09/2023,05/05/2023,flood_control,construction-of-flood-control-structure-villa-sta-maria-barangay-sta-maria-zamboanga-city-zamboanga-del-sur-23ja0041,[object Object]
